0,1,2
-7.1724253,-4.3335385,0.0107136415
-7.4052744,-3.7338572,-0.2615074
-8.1037245,-3.5569901,0.030893316
-7.640034,-4.0047417,-0.66082346
-7.573911,-3.2024398,-0.8307609
-7.5791397,-4.0074463,-0.6689471
-5.8328714,-5.4725304,-1.3682759
-6.78234,-3.4862413,-0.08656717
-6.7155,-4.008164,-1.271695
-7.7225037,-3.2449503,-0.9478318
-7.0785575,-4.6934395,-0.083042815
-6.5269346,-3.9545043,-0.6832742
-5.3888564,-5.1704082,-1.4647326
-7.608864,-3.7933881,-0.6839552
-7.5902057,-3.8084393,-1.3158972
-8.013562,-6.101741,-0.67433643
-7.9277263,-4.152218,0.030431151
-7.3570724,-4.079868,-0.18909733
-7.673309,-4.5424323,0.19642216
-7.035887,-3.2775624,-0.51085514
-6.904321,-3.637167,-1.1435727
-7.3157425,-3.8177946,-0.86848843
-7.5489497,-3.541866,-0.64098364
-7.046802,-3.8029788,0.1012798
-7.6644444,-4.593612,-0.209559
-7.75197,-3.9479103,0.106066525
-8.192434,-3.649322,0.087320745
-6.4409623,-5.038542,-0.39774066
-7.5758495,-4.0633655,-0.3175315
-5.989744,-3.4323018,-0.54377866
-7.740474,-3.8771114,-0.25824553
-7.4662395,-3.8247619,-0.22546265
-7.571695,-3.6389186,-0.21430016
-7.1675277,-3.6421287,-0.4914017
-8.059376,-4.5313454,-0.85820293
-7.6907954,-5.900279,-0.866542
-7.5588584,-5.078118,-0.065737754
-7.911632,-3.8222,-0.720772
-7.696473,-4.395261,0.006281722
-7.358766,-3.8667607,0.16621931
-7.717933,-3.8472672,0.15287048
-7.125594,-4.0076275,-0.7468827
-7.682718,-4.123165,-0.24927881
-7.5749483,-4.0130625,-0.7695458
-7.7461276,-4.532376,-0.15625967
-8.593868,-4.5104656,-0.9698872
-7.6003976,-4.0494847,-0.5422813
-7.4382505,-4.387212,0.07774841
-7.9444985,-4.7367578,-1.0670087
-7.373445,-4.108643,-2.030059
-6.2726493,-3.416279,0.23603518
-7.4290447,-4.4582276,-0.95492077
-8.245085,-5.334843,0.13045494
-7.373553,-3.5642593,-0.20985763
-8.022124,-7.144459,-0.6037684
-7.4585238,-3.6939611,-0.3116424
-7.721552,-4.7398033,-0.94004405
-7.7994666,-5.475993,-0.64138037
-7.36162,-3.728535,-0.39628458
-7.274566,-3.4771137,-0.71065027
-7.2339535,-2.9543655,0.0071033863
-7.8603277,-4.129242,-0.94684976
-7.1442776,-3.6818707,-0.03072695
-7.151389,-4.13136,-0.87938625
-8.296122,-4.479635,-0.43274206
-7.290057,-3.7398868,-0.7479494
-7.952897,-5.8832507,-0.8777863
-6.0812116,-3.911555,-1.5713418
-7.4458036,-2.7312255,-1.5527025
-7.8416605,-4.806259,0.14261627
-7.7578855,-3.6297503,0.3039238
-8.393678,-4.126129,-0.43600914
-7.6121874,-4.1898894,-0.93304294
-6.9047675,-4.095354,-0.3771823
-7.386083,-3.335727,-0.5786937
-8.172487,-3.7067187,-0.24557406
-7.3371344,-3.7938905,-0.24125974
-6.7522163,-4.672508,0.5116249
-7.234652,-2.9552517,0.3362311
-7.700435,-4.0263143,-0.30186784
-8.0427475,-2.7239668,-0.7692965
-7.2285905,-4.4954247,0.20467263
-6.994623,-3.3896396,-0.942027
-7.0768523,-3.604373,-1.2170788
-6.2079105,-3.9538019,-1.5970824
-8.1904955,-7.381755,-0.65165067
-7.543302,-4.1845536,-0.3742905
-7.800837,-5.6179333,-0.75852144
-7.3112545,-4.340171,-0.48161635
-7.8391232,-3.9370751,-0.9127511
-8.192341,-4.0331855,0.08506297
-7.708733,-5.088607,-0.22972973
-6.863107,-4.300894,0.053336866
-7.2792377,-3.6575055,-0.81668055
-7.263496,-3.6684012,-0.19418892
-7.2118974,-3.543457,-0.60510844
-7.3153634,-4.2031684,-0.9052727
-6.874021,-4.4189544,-1.8175273
-7.164452,-3.6715152,-0.8371162
-7.332565,-4.2221627,-0.4726641
-7.207511,-6.300281,-1.2760335
-7.3703613,-3.5718725,-0.32041156
-7.325604,-4.390765,-1.8518878
-7.5277557,-3.5079544,-0.25316754
-7.499933,-4.137052,-0.95838004
-7.6151495,-4.559246,-1.1030824
-7.4547906,-3.9622514,-0.4369808
-8.046493,-6.62905,-0.7453944
-7.1726007,-3.3093557,-1.18746
-7.2952685,-3.401714,-0.8138333
-7.3945312,-3.3961236,-0.72847867
-7.6333585,-4.1903915,-0.8885819
-8.110831,-3.8699625,-0.089979135
-7.387171,-4.231942,-0.8323742
-7.742454,-4.1617527,-0.20373681
-8.135996,-3.9969943,-1.0058126
-7.365342,-3.9152744,-0.35410964
-7.670609,-4.6721168,-0.6985346
-7.8451347,-4.232726,-0.7336219
-7.407956,-3.4894705,0.17820689
-7.5685973,-4.048928,-0.8305295
-7.4149513,-3.6864548,-0.8742845
-8.382347,-3.826631,-1.6305481
-7.9231033,-3.7206588,-0.019093862
-7.92807,-5.160639,-0.11894453
-7.4719596,-3.6330404,-0.33194596
-7.3577065,-4.0442524,-0.66654253
-7.3072395,-3.2416236,-0.87217546
-7.246383,-3.5844676,-0.29934043
-7.795014,-5.1472135,-0.8107794
-7.483928,-4.046451,0.43535522
-6.6912284,-2.9792802,-0.35921833
-7.3689747,-3.5259247,-0.6311172
-7.802388,-3.9234664,-0.5592993
-6.8474526,-3.550993,-1.180054
-7.2466416,-3.6429763,-0.6343119
-7.432235,-3.6793206,-0.97324497
-7.5423045,-4.231439,-0.89902943
-7.6355653,-4.2168407,-1.516615
-7.4337783,-3.1857653,0.0715742
-5.217018,-3.2165797,-0.5533435
-7.2001066,-4.073877,-0.18753345
-7.8965206,-3.361702,0.12575899
-6.887577,-4.4023557,-0.97644484
-6.418995,-3.5198424,-0.063897766
-7.5725646,-4.392285,-0.6026053
-7.7816544,-4.712869,-0.81300855
-7.9631777,-3.8608654,-0.108202316
-7.6730156,-3.114759,-1.451706
-7.343527,-3.7282186,-0.2442485
-6.7281933,-6.4041696,0.051302947
-7.472219,-4.709321,-0.6753766
-7.255605,-3.9611588,-0.24036968
-7.7203407,-5.4047456,-0.80825174
-7.2215858,-3.8257108,-0.3606849
-8.1049185,-4.21963,0.050964195
